"location_id","country","capitallongitude","capitallatitude","year"
204,"Italy","12.483333","41.9",251
204,"Italy","12.483333","41.9",252
204,"Italy","12.483333","41.9",253
204,"Italy","12.483333","41.9",254
204,"Italy","12.483333","41.9",255
204,"Italy","12.483333","41.9",256
204,"Italy","12.483333","41.9",257
204,"Italy","12.483333","41.9",258
204,"Italy","12.483333","41.9",259
204,"Italy","12.483333","41.9",260
204,"Italy","12.483333","41.9",261
204,"Italy","12.483333","41.9",262
204,"Italy","12.483333","41.9",263
204,"Italy","12.483333","41.9",264
204,"Italy","12.483333","41.9",265
204,"Italy","12.483333","41.9",266
204,"Italy","12.483333","41.9",267
204,"Italy","12.483333","41.9",268
204,"Italy","12.483333","41.9",269
204,"Italy","12.483333","41.9",270
202,"Greece","23.733333","37.983333333333334",250
202,"Greece","23.733333","37.983333333333334",251
202,"Greece","23.733333","37.983333333333334",252
202,"Greece","23.733333","37.983333333333334",253
202,"Greece","23.733333","37.983333333333334",254
202,"Greece","23.733333","37.983333333333334",255
202,"Greece","23.733333","37.983333333333334",256
202,"Greece","23.733333","37.983333333333334",257
202,"Greece","23.733333","37.983333333333334",258
202,"Greece","23.733333","37.983333333333334",259
202,"Greece","23.733333","37.983333333333334",260
202,"Greece","23.733333","37.983333333333334",261
202,"Greece","23.733333","37.983333333333334",262
202,"Greece","23.733333","37.983333333333334",263
202,"Greece","23.733333","37.983333333333334",264
202,"Greece","23.733333","37.983333333333334",265
202,"Greece","23.733333","37.983333333333334",266
202,"Greece","23.733333","37.983333333333334",267
202,"Greece","23.733333","37.983333333333334",268
202,"Greece","23.733333","37.983333333333334",269
202,"Greece","23.733333","37.983333333333334",270
151,"Turkey","32.866667","39.93333333333333",250
151,"Turkey","32.866667","39.93333333333333",251
151,"Turkey","32.866667","39.93333333333333",252
151,"Turkey","32.866667","39.93333333333333",253
151,"Turkey","32.866667","39.93333333333333",254
151,"Turkey","32.866667","39.93333333333333",255
151,"Turkey","32.866667","39.93333333333333",256
151,"Turkey","32.866667","39.93333333333333",257
151,"Turkey","32.866667","39.93333333333333",258
151,"Turkey","32.866667","39.93333333333333",259
151,"Turkey","32.866667","39.93333333333333",260
151,"Turkey","32.866667","39.93333333333333",261
151,"Turkey","32.866667","39.93333333333333",262
151,"Turkey","32.866667","39.93333333333333",263
151,"Turkey","32.866667","39.93333333333333",264
151,"Turkey","32.866667","39.93333333333333",265
151,"Turkey","32.866667","39.93333333333333",266
151,"Turkey","32.866667","39.93333333333333",267
151,"Turkey","32.866667","39.93333333333333",268
151,"Turkey","32.866667","39.93333333333333",269
151,"Turkey","32.866667","39.93333333333333",270
168,"Syria","36.300000","33.5",250
168,"Syria","36.300000","33.5",251
168,"Syria","36.300000","33.5",252
168,"Syria","36.300000","33.5",253
168,"Syria","36.300000","33.5",254
168,"Syria","36.300000","33.5",255
168,"Syria","36.300000","33.5",256
168,"Syria","36.300000","33.5",257
168,"Syria","36.300000","33.5",258
168,"Syria","36.300000","33.5",259
168,"Syria","36.300000","33.5",260
